outbreak_id;code;focus_type;country;region;province;livestock_region;municipality;uvl;disease;no_of_affected_species;serotype;species;confirmation_date
2007/3255_1;2007/3255;Secundario;España;ANDALUCÍA;CÓRDOBA;VILLANUEVA DE CÓRDOBA (PEDROCHES III);Villanueva de Córdoba;Córdoba;Lengua azul;1;;Ovinos;07/11/2007
2007/3254_1;2007/3254;Secundario;España;ANDALUCÍA;CÓRDOBA;VILLANUEVA DE CÓRDOBA (PEDROCHES III);Villanueva de Córdoba;Córdoba;Lengua azul;1;;Ovinos;19/10/2007
2007/3253_1;2007/3253;Secundario;España;ANDALUCÍA;CÓRDOBA;VILLANUEVA DE CÓRDOBA (PEDROCHES III);Villanueva de Córdoba;Córdoba;Lengua azul;1;;Ovinos;23/10/2007
2007/3252_1;2007/3252;Secundario;España;ANDALUCÍA;CÓRDOBA;VILLANUEVA DE CÓRDOBA (PEDROCHES III);Villanueva de Córdoba;Córdoba;Lengua azul;1;;Ovinos;07/11/2007
2007/3251_1;2007/3251;Secundario;España;ANDALUCÍA;CÓRDOBA;VILLANUEVA DE CÓRDOBA (PEDROCHES III);Villanueva de Córdoba;Córdoba;Lengua azul;2;;Bovinos, Ovinos;06/11/2007
2007/3250_1;2007/3250;Secundario;España;ANDALUCÍA;CÓRDOBA;PEÑARROYA-PUEBLONUEVO (VALLE DEL GUADIATO);Villaharta;Córdoba;Lengua azul;1;;Ovinos;22/10/2007
2007/3249_1;2007/3249;Secundario;España;ANDALUCÍA;CÓRDOBA;PEÑARROYA-PUEBLONUEVO (VALLE DEL GUADIATO);Valsequillo;Córdoba;Lengua azul;1;;Ovinos;07/11/2007
2007/3248_1;2007/3248;Secundario;España;ANDALUCÍA;CÓRDOBA;PEÑARROYA-PUEBLONUEVO (VALLE DEL GUADIATO);Valsequillo;Córdoba;Lengua azul;1;;Ovinos;08/11/2007
2007/3247_1;2007/3247;Secundario;España;ANDALUCÍA;CÓRDOBA;PEÑARROYA-PUEBLONUEVO (VALLE DEL GUADIATO);Valsequillo;Córdoba;Lengua azul;1;;Ovinos;06/11/2007
2007/3246_1;2007/3246;Secundario;España;ANDALUCÍA;CÓRDOBA;PEÑARROYA-PUEBLONUEVO (VALLE DEL GUADIATO);Valsequillo;Córdoba;Lengua azul;1;;Ovinos;08/11/2007
2007/3245_1;2007/3245;Secundario;España;ANDALUCÍA;CÓRDOBA;PEÑARROYA-PUEBLONUEVO (VALLE DEL GUADIATO);Valsequillo;Córdoba;Lengua azul;1;;Ovinos;08/11/2007
2007/3244_1;2007/3244;Secundario;España;ANDALUCÍA;CÓRDOBA;PEÑARROYA-PUEBLONUEVO (VALLE DEL GUADIATO);Valsequillo;Córdoba;Lengua azul;1;;Ovinos;07/11/2007
2007/3243_1;2007/3243;Secundario;España;ANDALUCÍA;CÓRDOBA;PEÑARROYA-PUEBLONUEVO (VALLE DEL GUADIATO);Valsequillo;Córdoba;Lengua azul;1;;Ovinos;05/11/2007
2007/3242_1;2007/3242;Secundario;España;ANDALUCÍA;CÓRDOBA;POZOBLANCO (PEDROCHES I );Torrecampo;Córdoba;Lengua azul;1;;Ovinos;08/11/2007
2007/3241_1;2007/3241;Secundario;España;ANDALUCÍA;CÓRDOBA;POZOBLANCO (PEDROCHES I );Torrecampo;Córdoba;Lengua azul;1;;Ovinos;06/11/2007
2007/3240_1;2007/3240;Secundario;España;ANDALUCÍA;CÓRDOBA;POZOBLANCO (PEDROCHES I );Santa Eufemia;Córdoba;Lengua azul;1;;Ovinos;08/11/2007
2007/3239_1;2007/3239;Secundario;España;ANDALUCÍA;CÓRDOBA;POZOBLANCO (PEDROCHES I );Santa Eufemia;Córdoba;Lengua azul;1;;Ovinos;22/10/2007
2007/3238_1;2007/3238;Secundario;España;ANDALUCÍA;CÓRDOBA;POZOBLANCO (PEDROCHES I );Santa Eufemia;Córdoba;Lengua azul;1;;Ovinos;07/11/2007
2007/3237_1;2007/3237;Secundario;España;ANDALUCÍA;CÓRDOBA;POZOBLANCO (PEDROCHES I );Santa Eufemia;Córdoba;Lengua azul;1;;Ovinos;07/11/2007
2007/3236_1;2007/3236;Secundario;España;ANDALUCÍA;CÓRDOBA;POZOBLANCO (PEDROCHES I );Santa Eufemia;Córdoba;Lengua azul;1;;Ovinos;07/11/2007
2007/3235_1;2007/3235;Secundario;España;ANDALUCÍA;CÓRDOBA;POZOBLANCO (PEDROCHES I );Santa Eufemia;Córdoba;Lengua azul;1;;Ovinos;07/11/2007
