"","code","focus_type","country","region","province","livestock_region","international_region","municipality","uvl","disease","n_affected_species","serotype","species","susceptible","affected","confirmation_date","outbreak_n","index","outbreak_id"
"11227","2007/3080","Secundario","España","EXTREMADURA","CÁCERES","NAVALMORAL DE LA MATA",NA,"Talayuela","Badajoz","Bluetongue",1,"","Ovinos","356","3",2007-11-26,1,11227,"2007/3080_1"
"11228","2007/3079","Secundario","España","EXTREMADURA","CÁCERES","NAVALMORAL DE LA MATA",NA,"Talayuela","Badajoz","Bluetongue",1,"","Ovinos","129","5",2007-11-26,1,11228,"2007/3079_1"
"11229","2007/3078","Secundario","España","EXTREMADURA","CÁCERES","NAVALMORAL DE LA MATA",NA,"Talayuela","Badajoz","Bluetongue",1,"","Ovinos","354","10",2007-11-26,1,11229,"2007/3078_1"
"11230","2007/3077","Secundario","España","EXTREMADURA","CÁCERES","NAVALMORAL DE LA MATA",NA,"Talayuela","Badajoz","Bluetongue",1,"","Ovinos","258","15",2007-11-26,1,11230,"2007/3077_1"
"11231","2007/3076","Secundario","España","EXTREMADURA","CÁCERES","NAVALMORAL DE LA MATA",NA,"Talayuela","Badajoz","Bluetongue",1,"","Ovinos","123","5",2007-11-26,1,11231,"2007/3076_1"
"11232","2007/3075","Secundario","España","EXTREMADURA","CÁCERES","NAVALMORAL DE LA MATA",NA,"Talayuela","Badajoz","Bluetongue",1,"","Ovinos","1840","5",2007-11-26,1,11232,"2007/3075_1"
"11233","2007/3074","Secundario","España","EXTREMADURA","CÁCERES","NAVALMORAL DE LA MATA",NA,"Talayuela","Badajoz","Bluetongue",1,"","Ovinos","1014","20",2007-11-26,1,11233,"2007/3074_1"
"11234","2007/3073","Secundario","España","EXTREMADURA","CÁCERES","NAVALMORAL DE LA MATA",NA,"Talayuela","Badajoz","Bluetongue",1,"","Ovinos","201","5",2007-11-26,1,11234,"2007/3073_1"
"11235","2007/3072","Secundario","España","EXTREMADURA","CÁCERES","NAVALMORAL DE LA MATA",NA,"Talayuela","Badajoz","Bluetongue",1,"","Ovinos","560","12",2007-11-26,1,11235,"2007/3072_1"
"11236","2007/3071","Secundario","España","EXTREMADURA","CÁCERES","NAVALMORAL DE LA MATA",NA,"Talayuela","Badajoz","Bluetongue",1,"","Ovinos","954","45",2007-11-26,1,11236,"2007/3071_1"
"11237","2007/3070","Secundario","España","EXTREMADURA","CÁCERES","NAVALMORAL DE LA MATA",NA,"Talayuela","Badajoz","Bluetongue",1,"","Ovinos","837","20",2007-11-26,1,11237,"2007/3070_1"
"11238","2007/3069","Secundario","España","EXTREMADURA","CÁCERES","NAVALMORAL DE LA MATA",NA,"Talayuela","Badajoz","Bluetongue",1,"","Ovinos","413","8",2007-11-26,1,11238,"2007/3069_1"
"11239","2007/3068","Secundario","España","EXTREMADURA","CÁCERES","PLASENCIA",NA,"Torrejón el Rubio","Badajoz","Bluetongue",1,"","Ovinos","929","20",2007-11-26,1,11239,"2007/3068_1"
"11240","2007/3067","Secundario","España","EXTREMADURA","CÁCERES","PLASENCIA",NA,"Torrejón el Rubio","Badajoz","Bluetongue",1,"","Ovinos","823","3",2007-11-26,1,11240,"2007/3067_1"
"11241","2007/3066","Secundario","España","EXTREMADURA","CÁCERES","PLASENCIA",NA,"Serradilla","Badajoz","Bluetongue",1,"","Ovinos","390","9",2007-11-26,1,11241,"2007/3066_1"
"11242","2007/3065","Secundario","España","EXTREMADURA","CÁCERES","PLASENCIA",NA,"Serradilla","Badajoz","Bluetongue",1,"","Ovinos","1888","3",2007-11-26,1,11242,"2007/3065_1"
"11243","2007/3064","Secundario","España","EXTREMADURA","CÁCERES","PLASENCIA",NA,"Serradilla","Badajoz","Bluetongue",1,"","Ovinos","633","5",2007-11-26,1,11243,"2007/3064_1"
